field,content
"Ankimo, Japan","So, who’s up for a chunk of monkfish liver with a little grated daikon on the side? Thought not – still, you’re missing out on one of sushi’s last great secrets, the prized ankimo. The monkfish/anglerfish that unknowingly bestows its liver upon upscale sushi fans is threatened by commercial fishing nets damaging its sea-floor habitat, so it’s possible ankimo won’t be around for much longer. If you do stumble across the creamy, yet oddly light delicacy anytime soon, consider a taste – you won’t regret trying one of the best foods in Japan."
"Parma ham, Italy","You see it folded around melon, wrapped around grissini, placed over pizza, heaped over salad. There’s good reason for that: these salty, paper-thin slices of air-dried ham lift the taste of everything they accompany to a higher level."
"Goi cuon (summer roll), Vietnam","This snack made from pork, shrimp, herbs, rice vermicelli and other ingredients wrapped in rice paper is served at room temperature. It’s “meat light,” with the flavors of refreshing herbs erupting in your mouth. Dipped in a slightly sweet Vietnamese sauce laced with ground peanuts, it’s wholesome, easy and the very definition of “moreish.”"
"Ohmi-gyu beef steak, Japan","This premium Japanese Wagyu beef from famed Takara Ranch has been recognized by the Imperial Palace of Japan as one of the greatest beef stocks to be raised in the past 400 years. Called the “Rolls-Royce” of beef, it’s best eaten sashimi style, anointed with a drizzle of kaffir lime and green tea sea salt. Marbled fat gives each mouthful texture as the beef melts away, leaving a subtle but distinctly classic beef flavor."
"Pho, Vietnam","This oft-mispronounced national dish (“fuh” is correct) is just broth, fresh rice noodles, a few herbs and usually chicken or beef. But it’s greater than the sum of its parts – fragrant, tasty and balanced."
"Lechón, Philippines","A Filipino national dish, lechón is a whole young pig slow-roasted over charcoal for several hours. The process makes for tender meat and crispy skin. It’s prepared on special occasions throughout the year."
"Fajitas, Mexico","This assembly kit of a dining experience is a thrill to DIY enthusiasts everywhere. Step 1: Behold the meat sizzling on a fiery griddle. Step 2: Along with the meat, throw side servings of capsicum, onion, guacamole, sour cream and salsa into a warm, flour tortilla. Step 3: Promise all within hearing range that you’ll have “just one more.” Step 4: Repeat."
"Butter garlic crab, India","This one claims no roots in Chinese, Continental or Indian cuisines. It comes from Butter Land, an imaginary best foods paradise balanced on the premise that anything tastes great with melted butter. This delicious, simple dish is made by drowning a large crab in a gallon of butter-garlic sauce, which seeps into every nook and cranny and coats every inch of flesh. The sea gods of Butter Land are benevolent carnivores and this, their gift to the world, is their signature dish."
"Champ, Ireland","Irish national dish champ goes down faster than the first pint of Guinness on a Friday night. Mashed potato with spring onions, butter, salt and pepper, champ is the perfect side with any meat or fish. For the textbook plate of creamy goodness, we suggest the busiest pub in any Irish seaside town. Around noon somehow feels right."
"Lasagna, Italy","Second only to pizza in the list of famed Italian foods, there’s a reason this pasta-layered, tomato-sauce-infused, minced-meaty gift to kids and adults alike is so popular – it just works."
"Poke, United States",This iconic Hawaiian appetizer is a raw fish salad – it originated when local fishermen were looking for use for the cut-offs from their catches. The fish is seasoned in different ways – so it’s a delicious but also healthy dish. The meal has now spread to the mainland – and across the globe.
"Croissant, France","Flaky pastry smothered in butter, a pile of raspberry jam smeared over the top and a soft, giving bite as you sink in your teeth; there’s nothing not to love about this fatty, sweet breakfast food that must be married to a cup of strong coffee."
"Arepas, Venezuela","A corn-dough patty that provides a savory canvas onto which you can paint any number of delicious toppings: cheese, shredded chicken, crisped pork skin, perico, beef, tomato, avocado."
"Bunny chow, South Africa","Despite the name, no rabbits are harmed in the making of one of South Africa’s best-loved street foods. Bunny chow is hollowed-out half- or quarter-loaves of white bread filled with super-spicy curry. The dish originated in Durban’s Indian community."
Shish kebab,"Pick your meat, shove a stick through it, grill. These cubes of deliciousness – most often lamb, but also beef, swordfish and chicken – are enjoyed with rice and vegetables and are the perfect addition to your summer barbecue."
"Lobster, global","Forget all your fancy, contrived lobster dishes deployed by showoff chefs eager for Michelin endorsement. When you have a best food as naturally delicious as these little fellas, keep it simple. The best way to enjoy lobster is simply to boil it and serve with a side of melted butter and slice of lemon."
"Pastel de nata, Portugal","Pastel de natas are perhaps the world’s tastiest laundry byproduct. Legend has it that Portuguese nuns and monks, having used egg whites to starch their religious clothing, used the leftover yolks to make pastries, including these sinfully delicious custard tarts."
"Pierogi, Poland","There are dumplings, and then there are Polish dumplings. Pierogi are parcels of deliciousness that can be filled with everything from potato to sauerkraut to meat to cheese and to fruit, and often topped with melted butter, sour cream or fried onions. They’re traditionally boiled, although fried pierogi are becoming more common."
"Corn on the cob, global",God probably created corn just to have an excuse to invent melted butter. There’s something about biting down on a cob of corn – it’s a delicate enough operation to require concentration but primal enough to make you feel like the caveman you always wanted to be. Great food is caveman food.
"Piri-piri chicken, Mozambique","The South African restaurant chain Nando’s has made Mozambican-Portuguese piri-piri chicken loved around the world. But for the original dish, head to Maputo, capital of Mozambique. Galinha à Zambeziana is a finger-lickin’ feast of chicken cooked with lime, pepper, garlic, coconut milk and piri piri sauce."
"Rendang, Indonesia","Beef is slowly simmered with coconut milk and a mixture of lemongrass, galangal, garlic, turmeric, ginger and chilies, then left to stew for a few hours to create this dish of tender, flavorful bovine goodness. Tasting it fresh out of the kitchen will send your stomach into overdrive, but many people think it gets even better when left overnight."
"Chicken muamba, Gabon","A bastardized Western version of this delectable Gabonese dish swamps everything in peanut butter. Oh, the insanity. The proper recipe calls for chicken, hot chili, garlic, tomato, pepper, salt, okra and palm butter, an artery-clogging African butter that will force you into a second helping and a promise to start using your gym membership."
"Ice cream, global","You may have just gorged yourself to eruption point, but somehow there’s always room for a tooth-rotting pile of ice cream with nuts, marshmallows and chocolate sauce. Thank God for extra long spoons that allow you get at the real weight-gain stuff all mixed up and melted at the bottom of the glass."
"Tom yum goong, Thailand","This best food Thai masterpiece teems with shrimp, mushrooms, tomatoes, lemongrass, galangal and kaffir lime leaves. Usually loaded with coconut milk and cream, the hearty soup unifies a host of favorite Thai tastes: sour, salty, spicy and sweet. Best of all is the price: cheap."
"Penang assam laksa, Malaysia","Poached, flaked mackerel, tamarind, chili, mint, lemongrass, onion, pineapple … one of Malaysia’s most popular dishes is an addictive spicy-sour fish broth with noodles (especially great when fused with ginger), that’ll have your nose running before the spoon even hits your lips."
"Hamburger, Germany","When something tastes so good that people spend $20 billion each year in a single restaurant chain devoted to it, you know it has to fit into this list. McDonald’s may not offer the best burgers, but that’s the point – it doesn’t have to. The bread-meat-salad combination is so good that entire countries have ravaged their eco-systems just to produce more cows."
"Peking duck, China","The maltose-syrup glaze coating the skin is the secret. Slow roasted in an oven, the crispy, syrup-coated skin is so good that authentic eateries will serve more skin than meat, and bring it with pancakes, onions and hoisin or sweet bean sauce. Other than flying or floating, this is the only way you want your duck."
"Sushi, Japan","When Japan wants to build something right, it builds it really right. Brand giants such as Toyota, Nintendo, Sony, Nikon and Yamaha may have been created by people fueled by nothing more complicated than raw fish and rice, but it’s how the fish and rice is put together that makes this a global first-date favorite. The Japanese don’t live practically forever for no reason – they want to keep eating this stuff."
"Chocolate, Mexico","The Mayans drank it, Lasse Hallström made a film about it and the rest of us get over the guilt of eating too much of it by eating more of it. The story of the humble cacao bean is a bona fide out-of-the-jungle, into-civilization tale of culinary wonder. Without this creamy, bitter-sweet confection, Valentine’s Day would be all cards and flowers, Easter would turn back into another dull religious event."
"Neapolitan pizza, Italy","Spare us the lumpy chain monstrosities and “everything-on-it” wheels of greed. The best pizza was and still is the simple Neapolitan, an invention now protected by its own trade association that insists on sea salt, high-grade wheat flour, the use of only three types of fresh tomatoes, hand-rolled dough and the strict use of a wood-fired oven, among other quality stipulations. With just a few ingredients – dough, tomatoes, olive oil, salt and basil (the marinara pizza does not even contain cheese) – the Neapolitans created a food that few make properly, but everyone enjoys thoroughly."
"Massaman curry, Thailand","Emphatically the king of curries, and perhaps the king of all foods. Spicy, coconutty, sweet and savory. Even the packet sauce you buy from the supermarket can make the most delinquent of cooks look like a Michelin potential. Thankfully, someone invented rice, with which diners can mop up the last drizzles of curry sauce. “The Land of Smiles” isn’t just a marketing catch-line. It’s a result of being born in a land where the world’s most delicious food is sold on nearly every street corner."
